app_id,app_name,vendor,category,sourcing,business_unit,region,business_owner,application_manager,business_criticality,data_classification,lifecycle_status,compliance_status,hosting,go_live_date,end_of_life_date,last_reviewed_date,number_of_users,annual_cost_chf,integration_count,type,user_population_band,description
APP-0001,Field Portal,In-house,Compliance,In-house,Trading & Sales,Germany,Olivier Marti,David Keller,,Restricted,Production,Compliant,Private Cloud,2021-03-30,2028-11-15,2025-06-12,122,220902,19,Self-developed,101-1000,"In-house Compliance application developed for Trading & Sales to track controls, obligations and audit evidence."
APP-0002,Balancing Manager,In-house,Energy Trading,In-house,Finance,Spain,Reto Kowalski,Simon Keller,Medium,,Production,Compliant,Public Cloud (AWS),2024-03-05,2029-04-30,2025-08-28,579,103827,8,Self-developed,101-1000,"In-house Energy Trading application developed for Finance to support deal capture, position keeping and market operations."
APP-0003,Emissions Analyzer,In-house,Reporting,In-house,Trading & Sales,Germany,Marco Conti,David Bauer,Low,Internal,Production,Compliant,On-Premise,2022-05-14,2029-03-09,2025-06-02,33,37819,5,Self-developed,11-100,In-house Reporting application developed for Trading & Sales to produce operational and regulatory reports.
APP-0004,Meter Analyzer,In-house,Data Platform,In-house,Energy Management,Spain,Camille Kowalski,Thomas Conti,High,Internal,Production,Compliant,SaaS,2023-01-16,2031-07-28,2026-04-13,659,301597,1,Self-developed,101-1000,"In-house Data Platform application developed for Energy Management to store, process and serve datasets for analytics and reporting."
APP-0005,Tariff Monitor,In-house,Compliance,In-house,Asset Management,France,Stefan Maurer,Claudia Koch,Low,Internal,Production,Compliant,Private Cloud,2019-05-13,2029-06-01,2025-09-18,9,47363,2,Self-developed,1-10,"In-house Compliance application developed for Asset Management to track controls, obligations and audit evidence."
APP-0006,Dispatch Portal,In-house,Customer,In-house,Corporate Strategy,France,Sara Roth,David Bauer,Medium,Internal,Production,Compliant,Public Cloud (Azure),2005-08-13,2027-08-10,2025-09-25,365,64283,7,Self-developed,101-1000,"In-house Customer application developed for Corporate Strategy to manage customer contracts, requests and service interactions."
APP-0007,Trading Engine,In-house,Finance,In-house,Asset Management,Poland,Chiara Conti,Martina Egger,Medium,,Retired,Unknown,SaaS,2016-06-19,2029-03-08,2026-01-06,238,51249,14,Self-developed,101-1000,"In-house Finance application developed for Asset Management to manage invoicing, settlement and financial bookkeeping."
APP-0008,Emissions Register,In-house,Customer,In-house,Asset Management,Austria,Olivier Marti,Martina Meier,High,Internal,Plan,Compliant,Public Cloud (AWS),2020-02-14,2029-01-30,2026-02-11,1052,354720,6,Self-developed,1000+,"In-house Customer application developed for Asset Management to manage customer contracts, requests and service interactions."
APP-0009,Capacity Hub,In-house,Compliance,In-house,Customer Service,Switzerland,Corinne Baumann,Pascal Arnold,Critical,Public,Production,Not assessed,Public Cloud (AWS),2008-01-07,2029-11-07,2025-07-11,2454,886991,20,Self-developed,1000+,"In-house Compliance application developed for Customer Service to track controls, obligations and audit evidence."
APP-0010,Emissions Cockpit,In-house,Asset Management,In-house,Grid Operations,Germany,Luca Bianchi,Corinne Egger,Medium,Internal,Production,Non-compliant,Public Cloud (Azure),2008-04-01,2030-07-18,2026-03-05,342,134042,19,Self-developed,101-1000,"In-house Asset Management application developed for Grid Operations to maintain technical assets, maintenance plans and lifecycle records."
APP-0011,Risk Dashboard,In-house,Risk,In-house,Trading & Sales,Spain,Martina Egger,Marco Conti,Medium,Internal,Production,Compliant,Public Cloud (AWS),2014-12-24,2031-02-23,2025-11-25,312,82220,16,Self-developed,101-1000,"In-house Risk application developed for Trading & Sales to manage exposure, limits and risk reporting."
